v1,v2,,,
ham,"জুরং পয়েন্ট পর্যন্ত যাও, পাগলা.. শুধুমাত্র বুগিস এন গ্রেট ওয়ার্ল্ড লা ই বুফেতে পাওয়া যায়... সিনে ওয়ার গোট অ্যামোর ওয়াট...",,,
ham,ঠিক আছে... তোমার সাথে মজা করছি...,,,
spam,২১শে মে ২০০৫ তারিখে FA কাপ ফাইনাল জেতার জন্য ২ সপ্তাহের প্রতিযোগিতায় বিনামূল্যে প্রবেশ। প্রবেশের প্রশ্ন পেতে FA নম্বরে ৮৭১২১ নম্বরে টেক্সট করুন (std txt রেট) শর্তাবলী প্রযোজ্য ০৮৪৫২৮১০০৭৫ওভার১৮,,,
ham,তুমি এত তাড়াতাড়ি বলো না... তুমি ইতিমধ্যেই বলো...,,,
ham,"না, আমার মনে হয় না সে USF-এ যাবে, যদিও সে এখানেই থাকে",,,
spam,"FreeMsg হে প্রিয়তমা ৩ সপ্তাহ হয়ে গেছে এবং আর কোন খবর নেই! আমি এখনও তোমার সাথে মজা করতে চাই? ঠিক আছে! XxX std chgs পাঠাতে হবে, å£1.50 rcv",,,
ham,এমনকি আমার ভাইও আমার সাথে কথা বলতে পছন্দ করে না। তারা আমাকে এইডস পেটেন্টের মতো আচরণ করে।,,,
ham,,,,
spam,আপনার অনুরোধ অনুসারে 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' সকল কলারদের জন্য আপনার কলারটিউন হিসেবে সেট করা হয়েছে। আপনার বন্ধুদের Callertune কপি করতে *9 টিপুন,,,
spam,WINNER!! একজন মূল্যবান নেটওয়ার্ক গ্রাহক হিসেবে আপনাকে £900 পুরস্কারের পুরস্কার পাওয়ার জন্য নির্বাচিত করা হয়েছে! দাবি করতে 09061701461 নম্বরে কল করুন। দাবি কোড KL341। বৈধতা মাত্র 12 ঘন্টা।,,,
ham,,,,
spam,আপনার মোবাইল কি 11 মাস বা তার বেশি ছিল? আপনি বিনামূল্যে ক্যামেরা সহ সর্বশেষ রঙিন মোবাইল আপডেট করার অধিকারী! 08002986030 নম্বরে বিনামূল্যে The Mobile Update Co-কে কল করুন,,,
spam,,,,
ham,"আমি শীঘ্রই বাড়িতে ফিরে আসছি এবং আজ রাতে আমি এই জিনিসগুলি নিয়ে আর কথা বলতে চাই না, কে? আমি আজ অনেক কেঁদেছি।",,,
ham,"নগদ জেতার ছয়টি সুযোগ! ১০০ থেকে ২০,০০০ পাউন্ড txt> CSH11 এবং ৮৭৫৭৫ নম্বরে পাঠান। খরচ ১৫০ পয়সা/দিন, ৬ দিন, ১৬+ TsandCs প্রযোজ্য উত্তর দিন HL ৪ তথ্য",,,
spam,"জরুরি! আপনি আমাদের å£১০০,০০০ প্রাইজ জ্যাকপটে ১ সপ্তাহের বিনামূল্যে সদস্যপদ জিতেছেন! এই বার্তাটি পাঠান: দাবি করুন নম্বরে: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,
ham,এই শ্বাস-প্রশ্বাসের জন্য আপনাকে ধন্যবাদ জানাতে আমি সঠিক শব্দ খুঁজছি। আমি প্রতিশ্রুতি দিচ্ছি যে আমি আপনার সাহায্যকে অবহেলা করব না এবং আমার প্রতিশ্রুতি পূরণ করব। আপনি সর্বদা দুর্দান্ত এবং আশীর্বাদস্বরূপ ছিলেন।,,,
ham,রবিবার আমার ইচ্ছার সাথে একটি তারিখ আছে!!,,,
ham,"XXXMobileMovieClub: আপনার ক্রেডিট ব্যবহার করতে, পরবর্তী txt বার্তায় WAP লিঙ্কে ক্লিক করুন অথবা এখানে ক্লিক করুন >> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",,,
spam,"ওহ, আমি এখানে দেখছি:)",,,
ham,"ওহ, তোমার মনে আছে তুমি তার নামের বানান কিভাবে বানান করেছ... হ্যাঁ, আমি করেছি। আমি যতক্ষণ না ভিজে যাই, সে দুষ্টুমি করত।",,,
ham,"ঠিক আছে, যদি তুমি এমনটা অনুভব করো। এটা এমনই হবে",,,
ham,"ইংল্যান্ড বনাম ম্যাসেডোনিয়া - গোল/দলের খবর মিস করো না। তোমার জাতীয় দলকে 87077 নম্বরে টেক্সট করো যেমন ইংল্যান্ড থেকে 87077 নম্বরে চেষ্টা করো: ওয়েলস, স্কটল্যান্ড 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",,,
ham,তুমি কি সত্যিই তার নাম এভাবে বানান করো?,,,
ham,আমি 2 মাস চেষ্টা করব হা হা শুধু মজা করছি,,,
